ID,MODEM_NUMBER,STATUS,ERROR,ERROR_CODE,MSISDN,SENT,MODEM_INDEX_I2C,TIMESTAMP,NETWORK,USE_CALL,USE_SMS,IS_LOOPBACK_MSISDN,MODEM_MSISDN,MODEL,IMEI,IMSI,REGISTRATION_STATUS,OPERATOR,RAT,ARFCN,BSIC,PSC,PCI,MCC,MNC,LAC,CELL_ID,RSSI,SNR,CALL_RESULT,SMS_RESULT,LATITUDE,LONGITUDE,ALTITUDE,SESSION_NAME,SUCCESS_RATE
66720,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 06:39:20,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-78.0,-15.0,"[""OK"", ""OK""]",,33.03427,-83.9376,0.0,Garage,100.0
66721,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 06:39:20,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-60.0,-9.0,"[""OK"", ""OK""]",,33.03427,-83.9376,0.0,Garage,100.0
66722,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 06:39:20,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,2450.0,,,189.0,311.0,480.0,44810.0,44921104.0,-70.0,-9.0,"[""OK"", ""OK""]",,33.03427,-83.9376,0.0,Garage,100.0
66723,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-11-20 06:41:47,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-80.0,-13.0,"[""OK"", ""FAIL""]",,33.03426,-83.93725,0.0,Garage,0.0
66724,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 06:41:47,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,50.0,310.0,410.0,11533.0,187244035.0,-77.0,-8.0,"[""OK"", ""OK""]",,33.03426,-83.93725,0.0,Garage,100.0
66725,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 06:41:47,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-52.0,-14.0,"[""OK"", ""OK""]",,33.03426,-83.93725,0.0,Garage,100.0
66726,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 06:41:47,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,2450.0,,,189.0,311.0,480.0,44810.0,44921104.0,-66.0,-13.0,"[""OK"", ""OK""]",,33.03426,-83.93725,0.0,Garage,100.0
66727,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2025-11-20 12:11:28,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-77.0,-15.0,"[""FAIL"", ""FAIL""]",,33.03427,-83.93691,0.0,Garage,0.0
66728,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 12:11:28,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,49.0,310.0,410.0,11533.0,187305993.0,-83.0,-18.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66729,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 12:11:28,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-56.0,-12.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66730,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 12:11:28,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,172.0,311.0,480.0,44810.0,45000962.0,-62.0,-17.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66731,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-11-20 12:13:56,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,2225.0,,,331.0,310.0,260.0,30497.0,43420930.0,-80.0,-15.0,"[""FAIL"", ""FAIL""]",,33.03427,-83.93691,0.0,Garage,0.0
66732,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 12:13:56,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,50.0,310.0,410.0,11533.0,187244035.0,-76.0,-14.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66733,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 12:13:56,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-52.0,-14.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66734,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 12:13:56,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-66.0,-18.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66735,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2025-11-20 12:15:55,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-17.0,"[""FAIL"", ""FAIL""]",,33.03427,-83.93691,0.0,Garage,0.0
66736,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 12:15:55,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-80.0,-16.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66737,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 12:15:55,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-57.0,-14.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66738,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 12:15:55,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,172.0,311.0,480.0,44810.0,45000962.0,-65.0,-16.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66739,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-11-20 12:18:22,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,1025.0,,,137.0,310.0,260.0,30497.0,43420939.0,-88.0,-13.0,"[""FAIL"", ""FAIL""]",,33.03427,-83.93691,0.0,Garage,0.0
66740,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 12:18:22,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-79.0,-15.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66741,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 12:18:22,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-57.0,-14.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66742,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 12:18:22,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-64.0,-18.0,"[""OK"", ""OK""]",,33.03427,-83.93691,0.0,Garage,100.0
66743,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2025-11-20 12:20:21,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-16.0,"[""FAIL"", ""FAIL""]",,33.03487,-83.93691,0.0,Garage,0.0
66744,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 12:20:21,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-82.0,-14.0,"[""OK"", ""OK""]",,33.03487,-83.93691,0.0,Garage,100.0
66745,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 12:20:21,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-56.0,-13.0,"[""OK"", ""OK""]",,33.03487,-83.93691,0.0,Garage,100.0
66746,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 12:20:21,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,172.0,311.0,480.0,44810.0,45000962.0,-65.0,-15.0,"[""OK"", ""OK""]",,33.03487,-83.93691,0.0,Garage,100.0
66747,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2025-12-01 14:18:08,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-79.0,-16.0,"[""OK"", ""OK""]",,33.03577,-83.93723,0.0,Garage,100.0
66748,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-12-01 14:18:08,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-82.0,-13.0,"[""OK"", ""OK""]",,33.03577,-83.93723,0.0,Garage,100.0
66749,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-12-01 14:18:08,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-79.0,-14.0,"[""OK"", ""OK""]",,33.03577,-83.93723,0.0,Garage,100.0
66750,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-12-01 14:18:08,auto,1,0,0,1229332074,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-77.0,-14.0,"[""FAIL"", ""FAIL""]",,33.03577,-83.93723,0.0,Garage,0.0
66751,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2025-12-01 14:18:08,auto,1,0,0,14706128781,Quectel EG25,867929068549221.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,172.0,311.0,480.0,44810.0,45000962.0,-91.0,-20.0,"[""OK"", ""OK""]",,33.03577,-83.93723,0.0,Garage,100.0
66752,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-12-01 14:18:08,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-90.0,-19.0,"[""OK"", ""OK""]",,33.03577,-83.93723,0.0,Garage,100.0
66753,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2025-12-01 14:21:46,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-79.0,-15.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66754,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-12-01 14:21:46,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-79.0,-15.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66755,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-12-01 14:21:46,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-77.0,-14.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66756,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-12-01 14:21:46,auto,1,0,0,1229332074,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-76.0,-15.0,"[""FAIL"", ""FAIL""]",,33.03578,-83.93606,0.0,Garage,0.0
66757,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2025-12-01 14:21:46,auto,1,0,0,14706128781,Quectel EG25,867929068549221.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,172.0,311.0,480.0,44810.0,45000962.0,-91.0,-20.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66758,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-12-01 14:21:46,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,-1.0,,,0.0,65535.0,65535.0,65535.0,4294967295.0,0.0,0.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66759,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2025-12-01 14:26:46,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-13.0,"[""FAIL"", ""FAIL""]",,33.03578,-83.93606,0.0,Garage,0.0
66760,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-12-01 14:26:46,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-12.0,"[""FAIL"", ""FAIL""]",,33.03578,-83.93606,0.0,Garage,0.0
66761,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-12-01 14:26:46,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-79.0,-15.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66762,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-12-01 14:26:46,auto,1,0,0,1229332074,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-78.0,-15.0,"[""FAIL"", ""FAIL""]",,33.03578,-83.93606,0.0,Garage,0.0
66763,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2025-12-01 14:26:46,auto,1,0,0,14706128781,Quectel EG25,867929068549221.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-91.0,-16.0,"[""FAIL"", ""FAIL""]",,33.03578,-83.93606,0.0,Garage,0.0
66764,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-12-01 14:26:46,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-92.0,-17.0,"[""OK"", ""OK""]",,33.03578,-83.93606,0.0,Garage,100.0
66765,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2025-12-02 14:48:36,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-11.0,"[""OK"", ""OK""]",,33.03576,-83.9353,0.0,Garage,100.0
66766,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-12-02 14:48:36,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-77.0,-16.0,"[""OK"", ""OK""]",,33.03576,-83.9353,0.0,Garage,100.0
66767,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-12-02 14:48:36,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-86.0,-13.0,"[""OK"", ""OK""]",,33.03576,-83.9353,0.0,Garage,100.0
66768,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-12-02 14:48:36,auto,1,0,0,1229332074,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-82.0,-16.0,"[""FAIL"", ""FAIL""]",,33.03576,-83.9353,0.0,Garage,0.0
66769,5,IDLE,Modem is not connected: 0 (Not registered. ME is not currently searching a new operator to register to),-22,14049400438,0,5,2025-12-02 14:48:36,auto,1,0,0,14706128781,Quectel EG25,867929068549221.0,311480117211386.0,0.0,,,,,,,,,,,,,[],,33.03576,-83.9353,0.0,Garage,0.0
66770,6,IDLE,Modem is not connected: 0 (Not registered. ME is not currently searching a new operator to register to),-22,14049400438,0,6,2025-12-02 14:48:36,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,0.0,,,,,,,,,,,,,[],,33.03576,-83.9353,0.0,Garage,0.0
66771,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2025-12-02 14:51:12,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,1025.0,,,137.0,310.0,260.0,30497.0,43420939.0,-81.0,-15.0,"[""FAIL"", ""FAIL""]",,33.03576,-83.9353,0.0,Garage,0.0
66772,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2025-12-02 14:51:12,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,1025.0,,,137.0,310.0,260.0,30497.0,43420939.0,-84.0,-16.0,"[""FAIL"", ""FAIL""]",,33.03576,-83.9353,0.0,Garage,0.0
